phase,file,logical_field_name,source_table,source_column,usage_type,canonical_source_after_policy,needs_change,impact_note
1,factor_screening.py / factor_investment_screening.py,rotation,jrd_kyi_fixed,rotation,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,bataiju,jrd_kyi_fixed,bataiju,direct,MANUAL_REVIEW,yes_caution,現在JRDB(k.bataiju)参照。JVDの公式計量値(v.bataiju→bataiju_actual)への切替を検討。定義確認要
1,factor_screening.py / factor_investment_screening.py,bataiju_zogen,jrd_kyi_fixed,bataiju_zogen,direct,MANUAL_REVIEW,yes_caution,現在JRDB参照。jvd_se.zogen_saとの定義差確認要
1,factor_screening.py / factor_investment_screening.py,kakutoku_shokin_ruikei,jrd_kyi_fixed,kakutoku_shokin_ruikei,direct,JRDB,no,"JRDB独自(高基数問題あり,再設計候補)"
1,factor_screening.py / factor_investment_screening.py,nyukyu_nannichimae,jrd_kyi_fixed,nyukyu_nannichimae,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kijun_ninkijun_tansho,jrd_kyi_fixed,kijun_ninkijun_tansho,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,keibajo_code,jvd_se(join保証),keibajo_code,filter/binning,JVD,no,JOIN条件で一致保証。実質同値
1,factor_screening.py / factor_investment_screening.py,kyakushitsu,jrd_kyi_fixed,kyakushitsu,direct,JRDB,no,jvd_se.kyakushitsu_hanteiと定義差あり。JRDB維持
1,factor_screening.py / factor_investment_screening.py,class_code,jrd_kyi_fixed,class_code,direct,JRDB,no,JRDB独自コード
1,factor_screening.py / factor_investment_screening.py,joshodo_code,jrd_kyi_fixed,joshodo_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,hizume_code,jrd_kyi_fixed,hizume_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,blinker,jrd_kyi_fixed,blinker,direct,JRDB,no,jvd_se.blinker_shiyo_kubunと定義差あり。JRDB維持
1,factor_screening.py / factor_investment_screening.py,pace_yoso,jrd_kyi_fixed,pace_yoso,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kishu_minarai_code,jrd_kyi_fixed,kishu_minarai_code,direct,JVD,yes,現在JRDB(k.)参照。jvd_se.kishu_minarai_codeに切替可能。ビン件数+11.8%見込み
1,factor_screening.py / factor_investment_screening.py,kyori_tekisei,jrd_kyi_fixed,kyori_tekisei,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kyori_tekisei_2,jrd_kyi_fixed,kyori_tekisei_2,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,shiba_tekisei_code,jrd_kyi_fixed,shiba_tekisei_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,da_tekisei_code,jrd_kyi_fixed,da_tekisei_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,omo_tekisei_code,jrd_kyi_fixed,omo_tekisei_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,tenkai_kigo_code,jrd_kyi_fixed,tenkai_kigo_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,manken_shirushi,jrd_kyi_fixed,manken_shirushi,direct,JRDB,no,JRDB独自(shortlist候補)
1,factor_screening.py / factor_investment_screening.py,kokyu_flag,jrd_kyi_fixed,kokyu_flag,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kyuyo_riyu_bunrui_code,jrd_kyi_fixed,kyuyo_riyu_bunrui_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,kyusha_hyoka_code,jrd_kyi_fixed,kyusha_hyoka_code,direct,JRDB,no,JRDB独自
1,factor_screening.py / factor_investment_screening.py,umakigo_code,jrd_kyi_fixed,umakigo_code,direct,JVD,yes,現在JRDB(k.)参照。jvd_se.umakigo_codeに切替可能。ビン件数+11.8%見込み
1,factor_screening.py / factor_investment_screening.py,joken_class_code,jrd_kyi_fixed,joken_class_code,direct,JRDB,no,JRDB独自(1勝クラス判定等)
1,factor_screening.py / factor_investment_screening.py,wakuban,jvd_se,wakuban_v,derived,JVD,no,compute_derived_factorsで既にjvd_se.wakuban_vを採用済み
1,factor_screening.py / factor_investment_screening.py,barei,jvd_se,barei,derived,JVD,no,jrd_kyi_fixedにbarei列なし。JVD正本確定
1,factor_screening.py / factor_investment_screening.py,surface,jvd_ra,track_code,derived,JVD,no,_surface()関数でtrack_codeから導出。JVD正本確定
1,factor_screening.py / factor_investment_screening.py,kyori_kubun,jvd_ra,kyori,derived,JVD,no,_kyori_kubun()でjvd_ra.kyoriから導出
1,factor_screening.py / factor_investment_screening.py,course_27,jvd_ra/jrd_kyi_fixed,keibajo_code+surface+kyori,derived,JVD,no,_course_27()で3列組み合わせ。surface/kyoriはJVD
1,factor_screening.py / factor_investment_screening.py,babajotai_heavy,jvd_ra,babajotai_code_shiba,derived,JVD,no,JVD正本
1,factor_screening.py / factor_investment_screening.py,tansho_odds(filter),jvd_se,tansho_odds,filter,JVD,no,オッズフィルタ。JVD正本(_apply_odds_filter)
1,factor_screening.py / factor_investment_screening.py,ijo_kubun_code(filter),jvd_se,ijo_kubun_code,filter,JVD,no,CLAUDE.md規約フィルタ
1,factor_screening.py / factor_investment_screening.py,kakutei_chakujun(filter),jvd_se,kakutei_chakujun,filter,JVD,no,取消除外フィルタ
1,factor_screening.py / factor_investment_screening.py,haraimodoshi_tansho(label),jvd_hr,haraimodoshi_tansho_1b,derived,JVD,no,ROI計算用勝ちラベル
1,factor_screening.py / factor_investment_screening.py,haraimodoshi_fukusho(label),jvd_hr,haraimodoshi_fukusho_*,derived,JVD,no,ROI計算用複勝ラベル
1,factor_screening.py / factor_investment_screening.py,kijun_odds_fukusho(filter),jrd_kyi_fixed,kijun_odds_fukusho,filter,JRDB,no,複勝フィルタ用。JVDに同値なし
2,factor_screening.py / factor_investment_screening.py,idm,jrd_kyi_fixed,idm,direct,JRDB,no,JRDB独自。変更不可
2,factor_screening.py / factor_investment_screening.py,sogo_shisu,jrd_kyi_fixed,sogo_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,ten_shisu,jrd_kyi_fixed,ten_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,pace_shisu,jrd_kyi_fixed,pace_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,agari_shisu,jrd_kyi_fixed,agari_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,ichi_shisu,jrd_kyi_fixed,ichi_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,gekiso_shisu,jrd_kyi_fixed,gekiso_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,ninki_shisu,jrd_kyi_fixed,ninki_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,joho_shisu,jrd_kyi_fixed,joho_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,manken_shisu,jrd_kyi_fixed,manken_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kishu_shisu,jrd_kyi_fixed,kishu_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,chokyo_shisu,jrd_kyi_fixed,chokyo_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kyusha_shisu,jrd_kyi_fixed,kyusha_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,ls_shisu_juni,jrd_kyi_fixed,ls_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
2,factor_screening.py / factor_investment_screening.py,ten_shisu_juni,jrd_kyi_fixed,ten_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
2,factor_screening.py / factor_investment_screening.py,pace_shisu_juni,jrd_kyi_fixed,pace_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
2,factor_screening.py / factor_investment_screening.py,agari_shisu_juni,jrd_kyi_fixed,agari_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
2,factor_screening.py / factor_investment_screening.py,ichi_shisu_juni,jrd_kyi_fixed,ichi_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
2,factor_screening.py / factor_investment_screening.py,gekiso_juni,jrd_kyi_fixed,gekiso_juni,direct,JRDB,no,JRDB独自(SHS)
2,factor_screening.py / factor_investment_screening.py,kishu_kitai_rentai_ritsu,jrd_kyi_fixed,kishu_kitai_rentai_ritsu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kishu_kitai_tansho_ritsu,jrd_kyi_fixed,kishu_kitai_tansho_ritsu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kishu_kitai_sanchakunai_ritsu,jrd_kyi_fixed,kishu_kitai_sanchakunai_ritsu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,uma_start_shisu,jrd_kyi_fixed,uma_start_shisu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,uma_deokure_ritsu,jrd_kyi_fixed,uma_deokure_ritsu,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,rotation,jrd_kyi_fixed,rotation,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,bataiju,jrd_kyi_fixed,bataiju,direct,MANUAL_REVIEW,yes_caution,現在JRDB(k.bataiju)参照。JVDの公式計量値(v.bataiju→bataiju_actual)への切替を検討。定義確認要
2,factor_screening.py / factor_investment_screening.py,bataiju_zogen,jrd_kyi_fixed,bataiju_zogen,direct,MANUAL_REVIEW,yes_caution,現在JRDB参照。jvd_se.zogen_saとの定義差確認要
2,factor_screening.py / factor_investment_screening.py,kakutoku_shokin_ruikei,jrd_kyi_fixed,kakutoku_shokin_ruikei,direct,JRDB,no,"JRDB独自(高基数問題あり,再設計候補)"
2,factor_screening.py / factor_investment_screening.py,nyukyu_nannichimae,jrd_kyi_fixed,nyukyu_nannichimae,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kijun_ninkijun_tansho,jrd_kyi_fixed,kijun_ninkijun_tansho,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,keibajo_code,jvd_se(join保証),keibajo_code,filter/binning,JVD,no,JOIN条件で一致保証。実質同値
2,factor_screening.py / factor_investment_screening.py,kyakushitsu,jrd_kyi_fixed,kyakushitsu,direct,JRDB,no,jvd_se.kyakushitsu_hanteiと定義差あり。JRDB維持
2,factor_screening.py / factor_investment_screening.py,class_code,jrd_kyi_fixed,class_code,direct,JRDB,no,JRDB独自コード
2,factor_screening.py / factor_investment_screening.py,joshodo_code,jrd_kyi_fixed,joshodo_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,hizume_code,jrd_kyi_fixed,hizume_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,blinker,jrd_kyi_fixed,blinker,direct,JRDB,no,jvd_se.blinker_shiyo_kubunと定義差あり。JRDB維持
2,factor_screening.py / factor_investment_screening.py,pace_yoso,jrd_kyi_fixed,pace_yoso,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kishu_minarai_code,jrd_kyi_fixed,kishu_minarai_code,direct,JVD,yes,現在JRDB(k.)参照。jvd_se.kishu_minarai_codeに切替可能。ビン件数+11.8%見込み
2,factor_screening.py / factor_investment_screening.py,kyori_tekisei,jrd_kyi_fixed,kyori_tekisei,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kyori_tekisei_2,jrd_kyi_fixed,kyori_tekisei_2,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,shiba_tekisei_code,jrd_kyi_fixed,shiba_tekisei_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,da_tekisei_code,jrd_kyi_fixed,da_tekisei_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,omo_tekisei_code,jrd_kyi_fixed,omo_tekisei_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,tenkai_kigo_code,jrd_kyi_fixed,tenkai_kigo_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,manken_shirushi,jrd_kyi_fixed,manken_shirushi,direct,JRDB,no,JRDB独自(shortlist候補)
2,factor_screening.py / factor_investment_screening.py,kokyu_flag,jrd_kyi_fixed,kokyu_flag,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kyuyo_riyu_bunrui_code,jrd_kyi_fixed,kyuyo_riyu_bunrui_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,kyusha_hyoka_code,jrd_kyi_fixed,kyusha_hyoka_code,direct,JRDB,no,JRDB独自
2,factor_screening.py / factor_investment_screening.py,umakigo_code,jrd_kyi_fixed,umakigo_code,direct,JVD,yes,現在JRDB(k.)参照。jvd_se.umakigo_codeに切替可能。ビン件数+11.8%見込み
2,factor_screening.py / factor_investment_screening.py,joken_class_code,jrd_kyi_fixed,joken_class_code,direct,JRDB,no,JRDB独自(1勝クラス判定等)
2,factor_screening.py / factor_investment_screening.py,wakuban,jvd_se,wakuban_v,derived,JVD,no,compute_derived_factorsで既にjvd_se.wakuban_vを採用済み
2,factor_screening.py / factor_investment_screening.py,barei,jvd_se,barei,derived,JVD,no,jrd_kyi_fixedにbarei列なし。JVD正本確定
2,factor_screening.py / factor_investment_screening.py,surface,jvd_ra,track_code,derived,JVD,no,_surface()関数でtrack_codeから導出。JVD正本確定
2,factor_screening.py / factor_investment_screening.py,kyori_kubun,jvd_ra,kyori,derived,JVD,no,_kyori_kubun()でjvd_ra.kyoriから導出
2,factor_screening.py / factor_investment_screening.py,course_27,jvd_ra/jrd_kyi_fixed,keibajo_code+surface+kyori,derived,JVD,no,_course_27()で3列組み合わせ。surface/kyoriはJVD
2,factor_screening.py / factor_investment_screening.py,babajotai_heavy,jvd_ra,babajotai_code_shiba,derived,JVD,no,JVD正本
2,factor_screening.py / factor_investment_screening.py,tansho_odds(filter),jvd_se,tansho_odds,filter,JVD,no,オッズフィルタ。JVD正本(_apply_odds_filter)
2,factor_screening.py / factor_investment_screening.py,ijo_kubun_code(filter),jvd_se,ijo_kubun_code,filter,JVD,no,CLAUDE.md規約フィルタ
2,factor_screening.py / factor_investment_screening.py,kakutei_chakujun(filter),jvd_se,kakutei_chakujun,filter,JVD,no,取消除外フィルタ
2,factor_screening.py / factor_investment_screening.py,haraimodoshi_tansho(label),jvd_hr,haraimodoshi_tansho_1b,derived,JVD,no,ROI計算用勝ちラベル
2,factor_screening.py / factor_investment_screening.py,haraimodoshi_fukusho(label),jvd_hr,haraimodoshi_fukusho_*,derived,JVD,no,ROI計算用複勝ラベル
2,factor_screening.py / factor_investment_screening.py,kijun_odds_fukusho(filter),jrd_kyi_fixed,kijun_odds_fukusho,filter,JRDB,no,複勝フィルタ用。JVDに同値なし
3,factor_screening.py / factor_investment_screening.py,idm,jrd_kyi_fixed,idm,direct,JRDB,no,JRDB独自。変更不可
3,factor_screening.py / factor_investment_screening.py,sogo_shisu,jrd_kyi_fixed,sogo_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,ten_shisu,jrd_kyi_fixed,ten_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,pace_shisu,jrd_kyi_fixed,pace_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,agari_shisu,jrd_kyi_fixed,agari_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,ichi_shisu,jrd_kyi_fixed,ichi_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,gekiso_shisu,jrd_kyi_fixed,gekiso_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,ninki_shisu,jrd_kyi_fixed,ninki_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,joho_shisu,jrd_kyi_fixed,joho_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,manken_shisu,jrd_kyi_fixed,manken_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kishu_shisu,jrd_kyi_fixed,kishu_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,chokyo_shisu,jrd_kyi_fixed,chokyo_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kyusha_shisu,jrd_kyi_fixed,kyusha_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,ls_shisu_juni,jrd_kyi_fixed,ls_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
3,factor_screening.py / factor_investment_screening.py,ten_shisu_juni,jrd_kyi_fixed,ten_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
3,factor_screening.py / factor_investment_screening.py,pace_shisu_juni,jrd_kyi_fixed,pace_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
3,factor_screening.py / factor_investment_screening.py,agari_shisu_juni,jrd_kyi_fixed,agari_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
3,factor_screening.py / factor_investment_screening.py,ichi_shisu_juni,jrd_kyi_fixed,ichi_shisu_juni,direct,JRDB,no,JRDB独自(SHS)
3,factor_screening.py / factor_investment_screening.py,gekiso_juni,jrd_kyi_fixed,gekiso_juni,direct,JRDB,no,JRDB独自(SHS)
3,factor_screening.py / factor_investment_screening.py,kishu_kitai_rentai_ritsu,jrd_kyi_fixed,kishu_kitai_rentai_ritsu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kishu_kitai_tansho_ritsu,jrd_kyi_fixed,kishu_kitai_tansho_ritsu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kishu_kitai_sanchakunai_ritsu,jrd_kyi_fixed,kishu_kitai_sanchakunai_ritsu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,uma_start_shisu,jrd_kyi_fixed,uma_start_shisu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,uma_deokure_ritsu,jrd_kyi_fixed,uma_deokure_ritsu,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,rotation,jrd_kyi_fixed,rotation,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,bataiju,jrd_kyi_fixed,bataiju,direct,MANUAL_REVIEW,yes_caution,現在JRDB(k.bataiju)参照。JVDの公式計量値(v.bataiju→bataiju_actual)への切替を検討。定義確認要
3,factor_screening.py / factor_investment_screening.py,bataiju_zogen,jrd_kyi_fixed,bataiju_zogen,direct,MANUAL_REVIEW,yes_caution,現在JRDB参照。jvd_se.zogen_saとの定義差確認要
3,factor_screening.py / factor_investment_screening.py,kakutoku_shokin_ruikei,jrd_kyi_fixed,kakutoku_shokin_ruikei,direct,JRDB,no,"JRDB独自(高基数問題あり,再設計候補)"
3,factor_screening.py / factor_investment_screening.py,nyukyu_nannichimae,jrd_kyi_fixed,nyukyu_nannichimae,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kijun_ninkijun_tansho,jrd_kyi_fixed,kijun_ninkijun_tansho,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,keibajo_code,jvd_se(join保証),keibajo_code,filter/binning,JVD,no,JOIN条件で一致保証。実質同値
3,factor_screening.py / factor_investment_screening.py,kyakushitsu,jrd_kyi_fixed,kyakushitsu,direct,JRDB,no,jvd_se.kyakushitsu_hanteiと定義差あり。JRDB維持
3,factor_screening.py / factor_investment_screening.py,class_code,jrd_kyi_fixed,class_code,direct,JRDB,no,JRDB独自コード
3,factor_screening.py / factor_investment_screening.py,joshodo_code,jrd_kyi_fixed,joshodo_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,hizume_code,jrd_kyi_fixed,hizume_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,blinker,jrd_kyi_fixed,blinker,direct,JRDB,no,jvd_se.blinker_shiyo_kubunと定義差あり。JRDB維持
3,factor_screening.py / factor_investment_screening.py,pace_yoso,jrd_kyi_fixed,pace_yoso,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kishu_minarai_code,jrd_kyi_fixed,kishu_minarai_code,direct,JVD,yes,現在JRDB(k.)参照。jvd_se.kishu_minarai_codeに切替可能。ビン件数+11.8%見込み
3,factor_screening.py / factor_investment_screening.py,kyori_tekisei,jrd_kyi_fixed,kyori_tekisei,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kyori_tekisei_2,jrd_kyi_fixed,kyori_tekisei_2,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,shiba_tekisei_code,jrd_kyi_fixed,shiba_tekisei_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,da_tekisei_code,jrd_kyi_fixed,da_tekisei_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,omo_tekisei_code,jrd_kyi_fixed,omo_tekisei_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,tenkai_kigo_code,jrd_kyi_fixed,tenkai_kigo_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,manken_shirushi,jrd_kyi_fixed,manken_shirushi,direct,JRDB,no,JRDB独自(shortlist候補)
3,factor_screening.py / factor_investment_screening.py,kokyu_flag,jrd_kyi_fixed,kokyu_flag,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kyuyo_riyu_bunrui_code,jrd_kyi_fixed,kyuyo_riyu_bunrui_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,kyusha_hyoka_code,jrd_kyi_fixed,kyusha_hyoka_code,direct,JRDB,no,JRDB独自
3,factor_screening.py / factor_investment_screening.py,umakigo_code,jrd_kyi_fixed,umakigo_code,direct,JVD,yes,現在JRDB(k.)参照。jvd_se.umakigo_codeに切替可能。ビン件数+11.8%見込み
3,factor_screening.py / factor_investment_screening.py,joken_class_code,jrd_kyi_fixed,joken_class_code,direct,JRDB,no,JRDB独自(1勝クラス判定等)
3,factor_screening.py / factor_investment_screening.py,wakuban,jvd_se,wakuban_v,derived,JVD,no,compute_derived_factorsで既にjvd_se.wakuban_vを採用済み
3,factor_screening.py / factor_investment_screening.py,barei,jvd_se,barei,derived,JVD,no,jrd_kyi_fixedにbarei列なし。JVD正本確定
3,factor_screening.py / factor_investment_screening.py,surface,jvd_ra,track_code,derived,JVD,no,_surface()関数でtrack_codeから導出。JVD正本確定
3,factor_screening.py / factor_investment_screening.py,kyori_kubun,jvd_ra,kyori,derived,JVD,no,_kyori_kubun()でjvd_ra.kyoriから導出
3,factor_screening.py / factor_investment_screening.py,course_27,jvd_ra/jrd_kyi_fixed,keibajo_code+surface+kyori,derived,JVD,no,_course_27()で3列組み合わせ。surface/kyoriはJVD
3,factor_screening.py / factor_investment_screening.py,babajotai_heavy,jvd_ra,babajotai_code_shiba,derived,JVD,no,JVD正本
3,factor_screening.py / factor_investment_screening.py,tansho_odds(filter),jvd_se,tansho_odds,filter,JVD,no,オッズフィルタ。JVD正本(_apply_odds_filter)
3,factor_screening.py / factor_investment_screening.py,ijo_kubun_code(filter),jvd_se,ijo_kubun_code,filter,JVD,no,CLAUDE.md規約フィルタ
3,factor_screening.py / factor_investment_screening.py,kakutei_chakujun(filter),jvd_se,kakutei_chakujun,filter,JVD,no,取消除外フィルタ
3,factor_screening.py / factor_investment_screening.py,haraimodoshi_tansho(label),jvd_hr,haraimodoshi_tansho_1b,derived,JVD,no,ROI計算用勝ちラベル
3,factor_screening.py / factor_investment_screening.py,haraimodoshi_fukusho(label),jvd_hr,haraimodoshi_fukusho_*,derived,JVD,no,ROI計算用複勝ラベル
