table_name,column_name,description,used_in_code,files
jvd_ra,grade_code_henkomae,,no,factor_screening.py
jvd_ra,kyoso_shubetsu_code,,yes,factor_screening.py
jvd_ra,kyoso_kigo_code,,yes,factor_screening.py
jvd_ra,juryo_shubetsu_code,,no,factor_screening.py
jvd_ra,kyoso_joken_code_2sai,,yes,factor_screening.py
jvd_ra,kyoso_joken_code_3sai,,yes,factor_screening.py
jvd_ra,kyoso_joken_code_4sai,,yes,factor_screening.py
jvd_ra,kyoso_joken_code_5sai_ijo,,yes,factor_screening.py
jvd_ra,kyoso_joken_code,競走条件(JVD),yes,factor_screening.py
jvd_ra,kyoso_joken_meisho,,no,factor_screening.py
jvd_ra,kyori,距離m(JVD正本),yes,factor_screening.py
jvd_ra,kyori_henkomae,,no,factor_screening.py
jvd_ra,track_code,トラックコード JVD正本(10-19=芝),yes,factor_screening.py
jvd_ra,track_code_henkomae,,no,factor_screening.py
jvd_ra,course_kubun,コース区分A/B/C/D(JVD正本),yes,factor_screening.py
jvd_ra,course_kubun_henkomae,,no,factor_screening.py
jvd_ra,honshokin,,yes,factor_screening.py
jvd_ra,honshokin_henkomae,,no,factor_screening.py
jvd_ra,fukashokin,,no,factor_screening.py
jvd_ra,fukashokin_henkomae,,no,factor_screening.py
jvd_ra,hasso_jikoku,,no,factor_screening.py
jvd_ra,hasso_jikoku_henkomae,,no,factor_screening.py
jvd_ra,toroku_tosu,,yes,factor_screening.py
jvd_ra,shusso_tosu,,yes,factor_screening.py
jvd_ra,nyusen_tosu,,yes,factor_screening.py
jvd_ra,tenko_code,天候(JVD正本),yes,factor_screening.py
jvd_ra,babajotai_code_shiba,芝馬場状態(JVD正本),yes,factor_screening.py
jvd_ra,babajotai_code_dirt,ダ馬場状態(JVD正本),yes,factor_screening.py
jvd_ra,lap_time,,no,factor_screening.py
jvd_ra,shogai_mile_time,,no,factor_screening.py
jvd_ra,zenhan_3f,,no,factor_screening.py
jvd_ra,zenhan_4f,,no,factor_screening.py
jvd_ra,kohan_3f,,no,factor_screening.py
jvd_ra,kohan_4f,,no,factor_screening.py
jvd_ra,corner_tsuka_juni_1,,no,factor_screening.py
jvd_ra,corner_tsuka_juni_2,,no,factor_screening.py
jvd_ra,corner_tsuka_juni_3,,no,factor_screening.py
jvd_ra,corner_tsuka_juni_4,,no,factor_screening.py
jvd_ra,record_koshin_kubun,,no,factor_screening.py
jvd_hr,haraimodoshi_tansho_1a,単勝払戻馬番1,yes,factor_screening.py
jvd_hr,haraimodoshi_tansho_1b,単勝払戻金額1,yes,factor_screening.py
jvd_hr,haraimodoshi_fukusho_1a,複勝払戻馬番1,yes,factor_screening.py
jvd_hr,haraimodoshi_fukusho_1b,複勝払戻金額1,yes,factor_screening.py
jvd_hr,haraimodoshi_fukusho_2a,,yes,factor_screening.py
jvd_hr,haraimodoshi_fukusho_2b,,yes,factor_screening.py
jvd_hr,haraimodoshi_fukusho_3a,,yes,factor_screening.py
jvd_hr,haraimodoshi_fukusho_3b,,yes,factor_screening.py
