rank,source,segment,factor,factor_type,grade,mark,score_std,n_bins,edge_bins,avg_win_roi,avg_place_roi,best_bin_win_roi,best_bin_place_roi,total_samples
161,phase1,KEIBAJO_SURFACE_03_ダ,goal_juni,numeric,B,★,2.689,10,3,90.5,81.0,135.7,104.1,9276
162,phase1,KEIBAJO_SURFACE_03_芝,sanchimei,code,B,★,2.664,15,4,90.1,84.5,155.3,107.5,12217
163,phase1,KEIBAJO_SURFACE_02_芝,kijun_ninkijun_tansho,numeric,B,★,2.657,10,2,85.9,78.6,151.0,91.9,6449
164,phase1,KEIBAJO_SURFACE_02_芝,kijun_ninkijun_fukusho,numeric,B,★,2.655,10,2,85.9,78.7,151.4,91.1,6449
165,phase1,KEIBAJO_SURFACE_02_芝,uma_tokki_3,numeric,B,★,2.646,9,3,89.3,79.0,144.4,95.7,2900
166,phase1,KEIBAJO_SURFACE_03_ダ,prev1_bataiju,numeric,B,★,2.645,10,4,90.2,81.4,124.1,94.8,8773
167,phase1,KEIBAJO_SURFACE_05_ダ,ten_shisu,numeric,B,★,2.644,10,1,75.1,78.7,134.4,102.7,2857
168,phase1,KEIBAJO_SURFACE_05_ダ,ichi_shisu,numeric,B,★,2.638,10,2,74.3,78.4,128.5,96.2,2857
169,phase1,KEIBAJO_SURFACE_03_ダ,goal_sa,numeric,B,★,2.637,10,4,88.9,80.4,130.4,100.3,9276
170,phase1,KEIBAJO_SURFACE_05_芝,sanchimei,code,B,★,2.63,9,1,60.6,77.2,114.5,97.1,2355
171,phase1,KEIBAJO_SURFACE_05_ダ,chokyo_yajirushi_code,numeric,B,★,2.628,3,1,90.4,81.9,127.3,92.4,2857
172,phase1,KEIBAJO_SURFACE_05_ダ,manken_shirushi,numeric,B,★,2.621,7,1,73.8,80.2,116.3,98.1,1793
173,phase1,KEIBAJO_SURFACE_02_ダ,uma_tokki_1,numeric,B,★,2.606,10,1,67.2,73.5,108.5,95.3,3620
174,phase1,KEIBAJO_SURFACE_04_障,rotation,numeric,B,★,2.603,9,3,93.2,81.2,129.8,94.3,2167
175,phase1,KEIBAJO_SURFACE_03_障,kishu_kitai_sanchakunai_ritsu,numeric,B,★,2.598,10,3,82.0,82.7,124.9,116.9,1551
176,phase1,KEIBAJO_SURFACE_03_ダ,taikei_tomo,numeric,B,★,2.597,10,3,95.0,83.2,150.1,111.1,8413
177,phase1,KEIBAJO_SURFACE_03_障,kijun_ninkijun_fukusho,numeric,B,★,2.589,10,2,76.0,80.4,120.5,102.2,1551
178,phase1,KEIBAJO_SURFACE_03_障,uma_deokure_ritsu,numeric,B,★,2.578,9,3,82.9,81.1,119.3,117.1,1551
179,phase1,KEIBAJO_SURFACE_04_障,taikei_dou,numeric,B,★,2.578,5,2,73.4,75.0,105.4,93.1,2155
180,phase1,KEIBAJO_SURFACE_05_芝,joho_shisu,numeric,B,★,2.575,8,1,70.6,82.7,106.5,103.0,2355
181,phase1,KEIBAJO_SURFACE_02_ダ,ten_shisu,numeric,B,★,2.569,10,2,72.8,74.1,118.1,102.1,4335
182,phase1,KEIBAJO_SURFACE_05_芝,umaban_clean,numeric,B,★,2.559,10,1,71.4,80.8,123.0,106.3,2355
183,phase1,KEIBAJO_SURFACE_03_芝,nyukyu_nannichimae,numeric,B,★,2.558,10,4,87.3,79.1,124.1,107.2,7993
184,phase1,KEIBAJO_SURFACE_03_障,taikei_tomo,numeric,B,★,2.558,10,3,81.1,81.1,125.0,101.3,1542
185,phase1,KEIBAJO_SURFACE_05_ダ,kakutoku_shokin_ruikei,numeric,B,★,2.537,9,1,76.5,77.8,125.3,111.9,2857
186,phase1,KEIBAJO_SURFACE_05_芝,kyusha_shisu,numeric,B,★,2.53,10,0,70.5,78.2,96.6,96.3,2355
187,phase1,KEIBAJO_SURFACE_02_芝,kohan_3f_sa,numeric,B,★,2.522,9,2,85.9,78.6,145.3,90.0,6449
188,phase1,KEIBAJO_SURFACE_02_芝,chokyoshi_rank,code,B,★,2.518,5,0,75.3,77.9,98.7,83.2,6444
189,phase1,SURFACE_2_芝,sanchimei,code,B,★,2.51,20,1,65.8,78.9,118.1,113.0,43864
190,phase1,KEIBAJO_SURFACE_02_芝,prev2_chakujun,numeric,B,★,2.508,10,3,85.8,80.3,146.2,89.1,5297
191,phase1,KEIBAJO_SURFACE_01_ダ,ls_shisu_juni,numeric,B,★,2.494,5,1,85.7,82.6,134.3,92.9,5660
192,phase1,KEIBAJO_SURFACE_05_ダ,pace_shisu,numeric,B,★,2.491,10,1,73.4,77.2,131.9,95.9,2857
193,phase1,KEIBAJO_SURFACE_05_ダ,hizume_code,numeric,B,★,2.489,8,1,79.3,75.4,118.8,91.1,2594
194,phase1,KEIBAJO_SURFACE_03_ダ,uma_tokki_2,numeric,B,★,2.484,9,2,90.3,81.3,156.4,93.9,6485
195,phase1,KEIBAJO_SURFACE_05_ダ,prev1_bataiju,numeric,B,★,2.482,10,3,74.3,77.7,112.8,114.0,2609
196,phase1,KEIBAJO_SURFACE_01_芝,kishu_rank,code,B,★,2.468,5,0,60.1,74.5,83.4,80.7,7968
197,phase1,KEIBAJO_SURFACE_03_ダ,ichi_shisu,numeric,B,★,2.467,10,4,88.8,80.7,130.4,92.4,9276
198,phase1,KEIBAJO_SURFACE_01_ダ,futan_juryo,numeric,B,★,2.466,7,2,86.7,83.3,131.3,97.0,5660
199,phase1,KEIBAJO_SURFACE_02_芝,ten_shisu,numeric,B,★,2.46,10,2,82.8,78.2,147.3,97.1,6449
200,phase1,KEIBAJO_SURFACE_04_芝,class_code,numeric,B,★,2.458,7,0,62.3,70.9,83.3,81.2,13016
