rank,source,segment,factor,factor_type,grade,mark,score_std,n_bins,edge_bins,avg_win_roi,avg_place_roi,best_bin_win_roi,best_bin_place_roi,total_samples
21,phase2,SURFACE_2_芝,babajotai_heavy+kijun_odds_fukusho,combo,S,★★★,6.898,313,78,82.7,79.0,501.5,292.3,170977
22,phase2,SURFACE_2_芝,kishu_minarai_code+nyukyu_nannichimae,combo,S,★★★,6.834,97,30,83.7,74.7,293.5,169.0,11409
23,phase2,SURFACE_2_芝,barei+sanchimei,combo,S,★★★,6.753,116,17,80.7,77.6,601.1,156.1,170976
24,phase2,SURFACE_2_ダ,babajotai_heavy+kijun_odds_fukusho,combo,S,★★★,6.715,337,81,79.4,78.2,381.1,260.0,177971
25,phase2,SURFACE_2_芝,kishu_minarai_code+rotation,combo,S,★★★,6.715,82,23,85.7,74.6,368.2,133.7,17365
26,phase2,SURFACE_2_ダ,gekiso_type+manken_shisu,combo,S,★★★,6.708,284,67,80.5,81.7,639.4,226.7,67582
27,phase2,SURFACE_2_芝,babajotai_heavy+uma_tokki_2,combo,S,★★★,6.667,282,69,83.3,79.1,477.2,183.1,101442
28,phase2,GLOBAL,hizume_code+kyori_tekisei,combo,S,★★★,6.586,102,21,90.7,80.6,551.7,157.9,317318
29,phase2,GLOBAL,kijun_ninkijun_tansho+kyusha_hyoka_code,combo,S,★★★,6.571,53,8,84.2,78.0,522.1,153.0,360874
30,phase2,GLOBAL,kijun_ninkijun_fukusho+kyusha_hyoka_code,combo,S,★★★,6.569,53,8,84.1,78.0,522.1,153.0,360874
31,phase2,GLOBAL,gekiso_type+nyukyu_nannichimae,combo,S,★★★,6.525,259,63,81.9,77.0,522.2,241.7,79059
32,phase2,SURFACE_2_ダ,gekiso_type+hizume_code,combo,S,★★★,6.503,102,21,78.2,81.5,383.8,143.0,63697
33,phase2,SURFACE_2_芝,babajotai_heavy+rotation,combo,S,★★★,6.47,110,20,82.1,77.0,528.1,208.4,148680
34,phase2,SURFACE_2_芝,barei+prev1_keibajo,combo,S,★★★,6.459,84,14,85.2,78.2,563.9,165.8,148662
35,phase2,SURFACE_2_ダ,gekiso_type+rotation,combo,S,★★★,6.458,151,31,81.5,80.9,436.7,179.8,64118
36,phase2,GLOBAL,gekiso_type+sanchimei,combo,S,★★★,6.445,108,22,81.9,76.2,446.0,184.4,141642
37,phase2,GLOBAL,gekiso_type+rotation,combo,S,★★★,6.426,185,38,84.7,80.5,458.8,203.8,128258
38,phase2,SURFACE_2_芝,barei+chokyo_yajirushi_code,combo,S,★★★,6.397,27,1,80.8,79.3,392.6,185.3,170977
39,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+prev1_corner4,combo,S,★★★,6.378,297,63,83.1,80.1,771.2,212.7,148662
40,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+prev1_corner4,combo,S,★★★,6.37,297,66,83.1,80.0,780.5,215.3,148662
41,phase2,SURFACE_2_芝,kishu_minarai_code+umaban_clean,combo,S,★★★,6.364,86,18,78.0,72.7,452.2,156.7,20377
42,phase2,GLOBAL,gekiso_type+shirushi_code_6,combo,S,★★★,6.36,31,5,84.2,84.0,392.6,163.6,49455
43,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+yoso_juni,combo,S,★★★,6.32,286,56,84.1,79.0,608.2,206.3,170977
44,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+shirushi_code_3,combo,S,★★★,6.31,66,11,92.7,80.1,432.5,126.8,94586
45,phase2,SURFACE_2_ダ,kishu_minarai_code+uma_deokure_ritsu,combo,S,★★★,6.301,129,32,84.1,79.9,409.1,139.3,30846
46,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+kyori_tekisei,combo,S,★★★,6.275,82,11,86.9,78.5,543.3,106.3,174589
47,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+kyori_tekisei,combo,S,★★★,6.268,83,11,86.3,78.2,543.3,106.6,174589
48,phase2,SURFACE_2_芝,gekiso_type+rotation,combo,S,★★★,6.256,148,40,84.6,79.0,394.2,216.3,58901
49,phase2,SURFACE_2_ダ,kishu_minarai_code+nyukyu_nannichimae,combo,S,★★★,6.251,107,35,85.9,75.0,271.0,157.4,15836
50,phase2,SURFACE_2_芝,gekiso_type+nyukyu_nannichimae,combo,S,★★★,6.239,210,56,81.7,75.9,378.4,242.0,39952
51,phase2,SURFACE_2_芝,kyori_tekisei+uma_deokure_ritsu,combo,S,★★★,6.194,247,46,76.8,76.5,604.0,164.0,146400
52,phase2,SURFACE_2_芝,bataiju_change_bin+kishu_minarai_code,combo,S,★★★,6.174,22,5,88.1,84.9,337.7,173.0,17361
53,phase2,SURFACE_2_ダ,kyusha_hyoka_code+prev1_bataiju,combo,S,★★★,6.163,238,45,80.9,79.4,408.1,204.9,164807
54,phase2,SURFACE_2_ダ,gekiso_type+sanchimei,combo,S,★★★,6.162,83,21,85.9,77.0,381.4,124.1,68848
55,phase2,GLOBAL,gekiso_type+prev1_keibajo,combo,S,★★★,6.145,76,10,83.9,81.5,401.8,217.0,128238
56,phase2,SURFACE_2_芝,kishu_minarai_code+manken_shisu,combo,S,★★★,6.143,161,44,83.4,75.2,323.6,149.6,20072
57,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+shirushi_code_3,combo,S,★★★,6.132,66,12,93.3,80.1,419.9,129.3,94586
58,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+shirushi_code_5,combo,S,★★★,6.114,78,11,82.1,81.1,492.4,134.3,92944
59,phase2,SURFACE_2_芝,babajotai_heavy+uma_tokki_3,combo,S,★★★,6.073,237,57,79.6,79.6,445.6,196.8,73872
60,phase2,SURFACE_2_芝,gekiso_type+manken_shisu,combo,S,★★★,6.056,301,78,83.7,77.4,491.3,252.6,66459
61,phase2,SURFACE_2_芝,kishu_minarai_code+prev2_chakujun,combo,S,★★★,6.047,72,16,83.4,76.9,313.2,147.8,15151
62,phase2,SURFACE_2_ダ,hizume_code+hobokusaki_rank,combo,S,★★★,6.036,93,11,83.3,79.3,563.9,146.6,155705
63,phase2,GLOBAL,gekiso_type+uma_deokure_ritsu,combo,S,★★★,5.984,316,72,78.0,79.0,443.7,221.4,128164
64,phase2,SURFACE_2_ダ,kyusha_hyoka_code+rotation,combo,S,★★★,5.961,108,19,78.4,74.4,454.9,144.0,164898
65,phase2,SURFACE_2_ダ,taikei_dou+yoso_juni,combo,S,★★★,5.953,244,51,81.8,77.8,536.6,217.0,161457
66,phase2,SURFACE_2_芝,manken_shirushi+uma_deokure_ritsu,combo,S,★★★,5.935,350,70,76.7,79.3,731.8,227.8,94685
67,phase2,SURFACE_2_ダ,kishu_rank+nyukyu_nannichimae,combo,S,★★★,5.927,222,46,83.4,75.7,359.3,240.5,88759
68,phase2,SURFACE_2_ダ,hizume_code+prev1_bataiju_bin,combo,S,★★★,5.922,137,22,81.1,79.6,618.5,215.2,163466
69,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+taikei_dou,combo,S,★★★,5.918,235,51,82.5,79.3,574.2,212.6,161457
70,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+taikei_dou,combo,S,★★★,5.911,233,52,82.5,79.3,574.2,212.6,161457
71,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+sanchimei,combo,S,★★★,5.908,214,38,82.3,76.2,451.8,161.6,177970
72,phase2,SURFACE_2_ダ,babajotai_heavy+uma_tokki_2,combo,S,★★★,5.898,320,61,80.4,79.1,530.4,197.2,108960
73,phase2,SURFACE_2_芝,kishu_minarai_code+yoso_juni,combo,S,★★★,5.893,84,20,78.1,73.7,359.6,149.9,20377
74,phase2,SURFACE_2_ダ,gekiso_type+uma_deokure_ritsu,combo,S,★★★,5.874,255,54,69.9,77.9,448.4,204.6,64098
75,phase2,SURFACE_2_ダ,chokyo_yajirushi_code+shirushi_code_6,combo,S,★★★,5.87,24,3,90.2,82.5,336.3,122.1,94677
76,phase2,GLOBAL,kishu_minarai_code+manken_shisu,combo,S,★★★,5.867,250,66,79.1,75.1,572.3,227.4,52790
77,phase2,SURFACE_2_ダ,nyukyu_nannichimae+tenko_code,combo,S,★★★,5.852,169,39,84.0,78.3,400.4,194.3,88807
78,phase2,SURFACE_2_ダ,bac_jouken+kishu_minarai_code,combo,S,★★★,5.845,20,2,83.8,78.5,317.5,111.6,33021
79,phase2,SURFACE_2_芝,kyusha_hyoka_code+sanchimei,combo,S,★★★,5.817,62,9,78.7,78.5,466.7,227.3,170976
80,phase2,SURFACE_2_ダ,kyusha_hyoka_code+taikei_dou,combo,S,★★★,5.8,63,10,85.9,76.8,385.5,111.5,161457
81,phase2,GLOBAL,bataiju_change_bin+kijun_ninkijun_fukusho,combo,S,★★★,5.798,94,16,83.5,84.3,394.2,206.2,325243
82,phase2,GLOBAL,kyusha_hyoka_code+uma_deokure_ritsu,combo,S,★★★,5.787,194,33,82.0,79.8,446.4,169.8,325149
83,phase2,SURFACE_2_芝,hizume_code+prev1_corner4,combo,S,★★★,5.778,261,47,79.5,78.2,514.4,182.8,147202
84,phase2,SURFACE_2_ダ,hizume_code+prev3_chakujun,combo,S,★★★,5.778,252,50,80.9,79.7,546.0,144.4,137130
85,phase2,GLOBAL,bataiju_change_bin+kijun_ninkijun_tansho,combo,S,★★★,5.761,93,14,83.9,83.5,396.0,206.2,325243
86,phase2,SURFACE_2_ダ,hizume_code+prev1_corner4,combo,S,★★★,5.745,273,46,79.9,80.7,453.4,256.3,163517
87,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+sanchimei,combo,S,★★★,5.742,217,40,82.9,75.9,379.5,158.8,177970
88,phase2,SURFACE_2_芝,hobokusaki_rank+nyukyu_nannichimae,combo,S,★★★,5.726,222,50,80.2,74.8,383.0,166.3,94473
89,phase2,GLOBAL,gekiso_type+manken_shisu,combo,S,★★★,5.723,337,71,82.5,79.0,679.6,288.1,139196
90,phase2,GLOBAL,kyi_kyusha_rank+prev2_chakujun,combo,S,★★★,5.716,131,16,89.2,80.7,568.2,146.2,295775
91,phase2,SURFACE_2_ダ,bac_jouken+manken_shisu,combo,S,★★★,5.715,361,72,80.6,78.0,702.7,199.9,174732
92,phase2,SURFACE_2_芝,kishu_minarai_code+taikei_tomo,combo,S,★★★,5.708,74,15,77.4,73.0,317.5,168.2,16080
93,phase2,SURFACE_2_芝,gekiso_type+kijun_ninkijun_tansho,combo,S,★★★,5.694,62,16,85.8,74.7,321.6,130.2,67556
94,phase2,SURFACE_2_芝,sanchimei+wakuban,combo,S,★★★,5.672,153,24,81.4,79.0,481.9,227.7,170976
95,phase2,SURFACE_2_芝,nyukyu_nannichimae+tenko_code,combo,S,★★★,5.653,181,41,80.9,75.9,492.3,148.3,98883
96,phase2,GLOBAL,kijun_ninkijun_tansho+prev1_corner4,combo,S,★★★,5.643,303,43,79.3,79.1,780.5,215.3,325448
97,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+shirushi_code_5,combo,S,★★★,5.642,77,11,81.7,80.9,500.3,132.0,92944
98,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+kyori,combo,S,★★★,5.64,184,37,85.2,80.0,435.9,197.5,177971
99,phase2,SURFACE_2_芝,gekiso_type+kijun_ninkijun_fukusho,combo,S,★★★,5.638,66,17,85.5,75.9,329.3,134.0,67556
100,phase2,SURFACE_2_ダ,kishu_minarai_code+manken_shisu,combo,S,★★★,5.638,200,55,78.3,76.4,359.3,169.5,32392
101,phase2,SURFACE_2_芝,kishu_rank+prev1_keibajo,combo,S,★★★,5.635,68,6,74.0,75.8,365.0,186.2,148481
102,phase2,GLOBAL,kijun_ninkijun_fukusho+prev1_corner4,combo,S,★★★,5.614,303,42,79.2,79.1,771.2,212.7,325448
103,phase2,SURFACE_2_ダ,prev1_bataiju_bin+prev2_chakujun,combo,S,★★★,5.612,140,26,82.6,78.6,503.9,219.5,151162
104,phase2,SURFACE_2_ダ,joken_class_code+manken_shisu,combo,S,★★★,5.61,319,62,79.4,77.5,702.7,199.9,174732
105,phase2,GLOBAL,kishu_minarai_code+taikei_dou,combo,S,★★★,5.602,69,14,77.2,74.6,319.1,126.6,47444
106,phase2,SURFACE_2_ダ,hizume_code+prev1_keibajo,combo,S,★★★,5.601,216,33,74.6,80.5,528.3,197.0,163517
107,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+kyori,combo,S,★★★,5.594,184,37,85.1,80.0,435.9,197.5,177971
108,phase2,GLOBAL,babajotai_heavy+kijun_odds_fukusho,combo,S,★★★,5.573,387,85,77.2,77.2,392.2,216.6,360874
109,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+prev2_chakujun,combo,S,★★★,5.555,276,62,84.6,81.3,530.8,238.8,133011
110,phase2,SURFACE_2_ダ,moshoku_code+prev1_keibajo,combo,S,★★★,5.553,106,7,69.9,78.7,445.7,159.7,164860
111,phase2,SURFACE_2_ダ,prev1_bataiju_bin+sanchimei,combo,S,★★★,5.524,137,23,79.7,76.1,408.2,172.0,164807
112,phase2,SURFACE_2_芝,babajotai_heavy+nyukyu_nannichimae,combo,S,★★★,5.514,145,26,82.5,76.2,488.5,151.9,98883
113,phase2,SURFACE_2_芝,kishu_minarai_code+prev1_corner4,combo,S,★★★,5.513,78,19,79.5,73.4,286.1,134.3,17361
114,phase2,SURFACE_2_ダ,manken_shirushi+prev1_keibajo,combo,S,★★★,5.508,87,9,85.0,81.3,489.2,192.0,104407
115,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+yoso_juni,combo,S,★★★,5.501,286,57,82.2,78.4,397.0,184.8,170977
116,phase2,SURFACE_2_ダ,hizume_code+prev1_chakujun,combo,S,★★★,5.497,266,48,80.7,79.8,497.7,155.0,163517
117,phase2,SURFACE_2_ダ,kishu_minarai_code+kyori,combo,S,★★★,5.484,51,15,81.1,77.2,384.2,121.3,33021
118,phase2,SURFACE_2_芝,bataiju_change_bin+class_code,combo,S,★★★,5.48,87,16,84.9,80.6,368.8,138.2,148299
119,phase2,SURFACE_2_ダ,class_code+prev1_chakujun,combo,S,★★★,5.471,181,37,80.7,77.3,420.8,155.5,164742
120,phase2,SURFACE_2_ダ,hizume_code+yoso_juni,combo,S,★★★,5.461,265,44,77.5,78.7,629.3,130.6,163584
121,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+prev2_chakujun,combo,S,★★★,5.461,275,63,83.9,81.2,530.8,236.6,133011
122,phase2,GLOBAL,sanchimei+tenko_code,combo,S,★★★,5.446,101,21,83.2,78.7,419.0,137.0,360872
123,phase2,SURFACE_2_ダ,prev1_keibajo+prev2_chakujun,combo,S,★★★,5.445,196,34,80.8,79.1,593.4,260.9,151215
124,phase2,SURFACE_2_ダ,prev1_bataiju+prev1_corner4_bin,combo,S,★★★,5.433,316,57,80.0,77.4,749.6,181.1,164807
125,phase2,SURFACE_2_芝,prev1_bataiju_bin+taikei_tomo,combo,S,★★★,5.425,166,25,82.0,77.6,591.8,172.4,139806
126,phase2,GLOBAL,babajotai_heavy+uma_tokki_2,combo,S,★★★,5.423,423,95,83.9,78.6,407.7,143.3,221058
127,phase2,GLOBAL,babajotai_heavy+nyukyu_nannichimae,combo,S,★★★,5.42,172,30,83.9,76.9,432.4,154.7,194251
128,phase2,SURFACE_2_ダ,prev3_chakujun+taikei_dou,combo,S,★★★,5.413,233,57,82.7,79.6,350.4,211.6,135623
129,phase2,SURFACE_2_ダ,bataiju_change_bin+kishu_minarai_code,combo,S,★★★,5.412,23,3,78.8,77.0,259.8,120.8,30852
130,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+kishu_minarai_code,combo,S,★★★,5.409,76,21,81.3,74.2,321.9,143.1,20377
131,phase2,GLOBAL,kishu_minarai_code+rotation,combo,S,★★★,5.409,112,26,80.6,74.7,375.9,203.8,48560
132,phase2,GLOBAL,gekiso_type+kijun_ninkijun_tansho,combo,S,★★★,5.403,62,10,83.7,75.7,321.6,130.2,141643
133,phase2,SURFACE_2_ダ,kishu_minarai_code+rotation,combo,S,★★★,5.39,93,21,76.9,76.7,340.8,173.8,30866
134,phase2,SURFACE_2_芝,kijun_ninkijun_fukusho+kishu_minarai_code,combo,S,★★★,5.388,76,22,81.4,74.1,321.9,143.1,20377
135,phase2,GLOBAL,moshoku_code+prev1_keibajo,combo,S,★★★,5.38,119,13,71.5,78.4,380.4,152.4,325448
136,phase2,GLOBAL,kijun_ninkijun_fukusho+shirushi_code_5,combo,S,★★★,5.374,86,11,84.2,80.8,370.6,141.3,193685
137,phase2,SURFACE_2_芝,hizume_code+yoso_juni,combo,S,★★★,5.364,257,50,80.2,79.6,489.3,187.3,147248
138,phase2,SURFACE_2_ダ,kyi_kyusha_rank+moshoku_code,combo,S,★★★,5.36,52,4,83.9,81.0,315.7,114.7,177873
139,phase2,GLOBAL,kijun_ninkijun_fukusho+prev2_chakujun,combo,S,★★★,5.351,287,54,83.9,80.6,530.8,170.2,296151
140,phase2,SURFACE_2_芝,manken_shirushi+prev1_bataiju_bin,combo,S,★★★,5.344,72,8,81.4,78.3,438.4,128.3,94622
141,phase2,SURFACE_2_ダ,bataiju_change_bin+sanchimei,combo,S,★★★,5.342,92,18,78.3,79.2,324.0,163.0,164807
142,phase2,GLOBAL,hobokusaki_rank+sanchimei,combo,S,★★★,5.341,113,18,78.8,76.4,365.6,182.2,342343
143,phase2,GLOBAL,kijun_ninkijun_tansho+kyi_kyusha_rank,combo,S,★★★,5.339,131,22,89.3,82.6,470.9,184.0,360478
144,phase2,SURFACE_2_ダ,kyusha_hyoka_code+shirushi_code_2,combo,S,★★★,5.339,22,2,86.1,78.9,281.3,117.0,93283
145,phase2,GLOBAL,kijun_ninkijun_fukusho+kyi_kyusha_rank,combo,S,★★★,5.334,131,21,89.2,82.5,470.9,184.0,360478
146,phase2,GLOBAL,gekiso_type+kijun_ninkijun_fukusho,combo,S,★★★,5.328,66,12,84.5,76.9,329.3,127.0,141643
147,phase2,GLOBAL,kijun_ninkijun_tansho+prev2_chakujun,combo,S,★★★,5.324,287,54,83.9,80.7,530.8,171.2,296151
148,phase2,SURFACE_2_ダ,class_code+kijun_ninkijun_tansho,combo,S,★★★,5.321,209,37,78.9,77.3,355.2,204.4,164810
149,phase2,SURFACE_2_芝,kyi_kyusha_rank+uma_deokure_ritsu,combo,S,★★★,5.317,359,74,77.7,77.9,439.1,193.9,148328
150,phase2,GLOBAL,kijun_ninkijun_tansho+prev1_keibajo,combo,S,★★★,5.306,240,44,76.0,76.5,435.7,165.7,325448
151,phase2,GLOBAL,manken_shirushi+prev1_bataiju_bin,combo,S,★★★,5.306,80,10,84.0,79.1,378.8,131.3,206462
152,phase2,SURFACE_2_ダ,kyori+prev2_chakujun,combo,S,★★★,5.305,196,37,82.9,79.7,463.4,172.1,151215
153,phase2,SURFACE_2_ダ,class_code+kijun_ninkijun_fukusho,combo,S,★★★,5.291,211,39,78.8,76.9,359.0,204.4,164810
154,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev1_chakujun,combo,S,★★★,5.29,255,42,80.7,80.0,392.0,245.7,164860
155,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev1_bataiju_bin,combo,S,★★★,5.287,139,22,82.1,78.6,385.2,174.0,164807
156,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev1_chakujun,combo,S,★★★,5.287,255,42,80.6,80.0,387.2,242.7,164860
157,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev1_bataiju_bin,combo,S,★★★,5.286,139,24,82.1,78.7,385.2,174.0,164807
158,phase2,SURFACE_2_芝,kishu_shisu+kyori_tekisei,combo,S,★★★,5.286,172,17,85.7,81.1,540.6,222.7,168917
159,phase2,GLOBAL,bataiju_change_bin+kyi_kyusha_rank,combo,S,★★★,5.285,49,9,85.7,81.6,346.4,123.7,324871
160,phase2,GLOBAL,prev1_keibajo+wakuban,combo,S,★★★,5.279,157,16,71.9,78.7,358.9,201.5,325448
161,phase2,SURFACE_2_ダ,bataiju_change_bin+kyori,combo,S,★★★,5.277,66,12,81.4,80.4,403.9,266.4,164807
162,phase2,SURFACE_2_ダ,kyusha_hyoka_code+shirushi_code_1,combo,S,★★★,5.276,24,3,85.6,78.9,321.5,118.4,108475
163,phase2,SURFACE_2_芝,bataiju_change_bin+sanchimei,combo,S,★★★,5.272,84,16,82.9,79.4,346.2,146.4,148513
164,phase2,SURFACE_2_芝,prev2_chakujun+prev3_chakujun,combo,S,★★★,5.268,274,63,81.8,80.8,462.2,285.7,120239
165,phase2,GLOBAL,kijun_ninkijun_fukusho+prev1_keibajo,combo,S,★★★,5.255,239,43,76.3,76.8,447.1,165.7,325448
166,phase2,GLOBAL,bataiju_change_bin+taikei_dou,combo,S,★★★,5.252,104,17,77.6,78.5,388.5,185.8,318350
167,phase2,SURFACE_2_芝,moshoku_code+sanchimei,combo,S,★★★,5.251,105,17,75.6,77.6,466.7,227.3,170976
168,phase2,SURFACE_2_芝,hizume_code+moshoku_code,combo,S,★★★,5.248,99,13,77.3,79.1,499.4,188.6,147248
169,phase2,SURFACE_2_芝,prev1_chakujun+prev1_corner4,combo,S,★★★,5.248,299,73,81.1,78.3,519.6,266.7,148662
170,phase2,GLOBAL,kijun_ninkijun_tansho+shirushi_code_5,combo,S,★★★,5.244,86,11,84.9,80.9,370.6,135.7,193685
171,phase2,GLOBAL,kishu_minarai_code+prev3_chakujun,combo,S,★★★,5.235,82,18,82.4,78.8,409.5,135.6,39220
172,phase2,GLOBAL,prev3_chakujun+sanchimei,combo,S,★★★,5.234,262,47,81.8,80.7,512.4,185.4,269565
173,phase2,GLOBAL,bataiju_change_bin+kyori,combo,S,★★★,5.231,158,27,78.4,80.2,403.9,266.4,325243
174,phase2,GLOBAL,gekiso_type+kyori,combo,S,★★★,5.23,151,29,76.7,79.8,420.6,194.4,141643
175,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev1_corner4,combo,S,★★★,5.22,267,49,78.4,78.8,647.2,271.6,164860
176,phase2,SURFACE_2_芝,prev3_chakujun+taikei_tomo,combo,S,★★★,5.215,335,83,81.0,80.1,407.5,185.2,117136
177,phase2,SURFACE_2_ダ,kyori_tekisei+taikei_dou,combo,S,★★★,5.212,94,13,79.6,76.5,493.1,140.5,158080
178,phase2,GLOBAL,prev1_chakujun+prev2_chakujun,combo,S,★★★,5.206,314,54,82.6,79.3,464.9,191.1,296151
179,phase2,SURFACE_2_芝,manken_shisu+tenko_code,combo,S,★★★,5.203,262,50,81.2,78.9,402.4,166.0,168275
180,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev1_corner4,combo,S,★★★,5.197,267,48,78.1,78.7,636.7,267.3,164860
181,phase2,SURFACE_2_芝,gekiso_type+hizume_code,combo,S,★★★,5.191,100,22,78.0,77.2,298.0,167.2,58425
182,phase2,SURFACE_2_芝,kyusha_hyoka_code+rotation,combo,S,★★★,5.185,107,13,79.1,76.7,330.6,173.5,148680
183,phase2,SURFACE_2_ダ,gekiso_type+prev1_bataiju_bin,combo,S,★★★,5.184,51,8,82.9,78.1,319.1,111.4,64097
184,phase2,SURFACE_2_芝,prev3_chakujun+sanchimei,combo,S,★★★,5.181,211,37,80.8,79.9,374.3,196.2,120239
185,phase2,SURFACE_2_芝,kyori_tekisei+nyukyu_nannichimae,combo,S,★★★,5.177,187,34,82.0,77.1,469.4,162.3,97702
186,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+shirushi_code_6,combo,S,★★★,5.163,71,7,81.3,77.7,422.0,119.3,94677
187,phase2,GLOBAL,kijun_ninkijun_fukusho+kyori,combo,S,★★★,5.161,373,83,82.0,79.6,420.3,197.5,360874
188,phase2,SURFACE_2_芝,kyi_kyusha_rank+tenko_code,combo,S,★★★,5.158,32,2,88.0,82.1,320.9,139.2,170683
189,phase2,SURFACE_2_ダ,hizume_code+taikei_dou,combo,S,★★★,5.154,218,51,88.1,80.7,324.0,182.5,160490
190,phase2,SURFACE_2_芝,kijun_ninkijun_tansho+prev3_chakujun,combo,S,★★★,5.149,277,60,83.3,81.0,464.5,187.5,120239
191,phase2,SURFACE_2_ダ,sanchimei+yoso_juni,combo,S,★★★,5.149,215,30,78.0,75.8,384.2,147.3,177970
192,phase2,SURFACE_2_芝,gekiso_type+prev2_chakujun,combo,S,★★★,5.147,105,24,80.7,79.2,452.0,153.6,53783
193,phase2,GLOBAL,bataiju_change_bin+sanchimei,combo,S,★★★,5.136,110,17,80.5,81.7,349.1,181.7,325243
194,phase2,GLOBAL,hizume_code+kijun_ninkijun_tansho,combo,S,★★★,5.133,283,47,78.8,81.9,555.7,288.0,322746
195,phase2,SURFACE_2_ダ,hizume_code+umaban_clean,combo,S,★★★,5.12,281,50,79.1,80.3,527.3,217.6,163584
